Wall time,Step,Value
1743574487.1152196,0,0.6082724928855896
1743575967.0163407,1,0.7845528721809387
1743577452.5430117,2,0.7870182394981384
1743578932.1276212,3,0.8123711347579956
1743580406.4395242,4,0.843910813331604
1743581889.8938427,5,0.866906464099884
1743583371.036872,6,0.8884826302528381
1743584852.9627025,7,0.884403645992279
1743586334.5571342,8,0.8794326186180115
1743587815.661957,9,0.8876404762268066
1743589293.0394897,10,0.8764045238494873
1743590770.1483395,11,0.8909090757369995
1743592236.0920482,12,0.8705440759658813
1743593709.3726556,13,0.8725099563598633
1743595183.1424744,14,0.8785714507102966
1743596650.0026999,15,0.891791045665741
1743598111.9851525,16,0.8896926045417786
1743599580.6263459,17,0.8738898634910583
1743601047.4174428,18,0.8981817960739136
1743602516.2430475,19,0.8897196054458618
1743603983.4561145,20,0.8884462118148804
1743605449.7783408,21,0.8888888955116272
1743606925.0962462,22,0.9103942513465881
1743608391.6269233,23,0.8952381014823914
1743609868.6525369,24,0.9005424976348877
1743611341.5192754,25,0.8984962701797485
1743612816.8314898,26,0.8837209343910217
1743614296.7048535,27,0.9104477763175964
1743615780.837085,28,0.9033457040786743
1743617260.7510633,29,0.9111531376838684
1743618741.587684,30,0.9169811606407166
1743620223.06921,31,0.9053030014038086
1743621718.2583559,32,0.9222011566162109
1743623727.1941016,33,0.8978805541992188
1743625654.8555062,34,0.9219047427177429
1743627638.3457725,35,0.8918406367301941
1743629535.3278277,36,0.9101338386535645
1743632324.8217173,37,0.910815954208374
1743633925.311402,38,0.9136276245117188
1743635448.8292034,39,0.9176030158996582
